"ROAD","LI","CONTRI","JF","CF","SP","DE","TIME"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.7082","0.70","19.49","-","2016-06-11 10:12:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.3794","0.70","18.00","+","2016-06-11 10:12:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.2860","0.70","15.96","+","2016-06-11 10:12:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.9234","0.71","14.85","-","2016-06-11 10:12:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.5300","0.70","15.53","+","2016-06-11 10:12:04"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.4235","0.83","40.90","+","2016-06-11 10:12:57"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","1.0442","0.85","45.51","+","2016-06-11 10:12:57"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","6.3012","0.92","26.03","+","2016-06-11 10:12:57"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","7.4165","0.97","22.28","+","2016-06-11 10:12:57"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","4.0914","0.97","44.53","+","2016-06-11 10:12:57"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","7.0911","0.98","24.95","+","2016-06-11 10:12:57"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","3.0564","0.97","42.75","-","2016-06-11 10:12:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","4.3033","0.98","43.94","-","2016-06-11 10:12:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","4.7217","0.97","42.00","-","2016-06-11 10:12:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","4.6456","0.97","41.81","-","2016-06-11 10:12:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.8182","0.92","42.16","-","2016-06-11 10:12:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9416","0.70","12.04","-","2016-06-11 10:12:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.1878","0.70","12.90","-","2016-06-11 10:12:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.0590","0.70","17.00","-","2016-06-11 10:12:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","5.8246","0.70","16.83","-","2016-06-11 10:12:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.1991","0.70","19.98","+","2016-06-11 10:12:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","4.1768","0.73","19.31","+","2016-06-11 10:12:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.5721","0.70","11.00","+","2016-06-11 10:12:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.6332","0.70","19.66","-","2016-06-11 11:19:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.5356","0.70","17.66","+","2016-06-11 11:19:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.2860","0.70","15.96","+","2016-06-11 11:19:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 11:19:03"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.6250","0.72","15.37","+","2016-06-11 11:19:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.0218","0.82","45.59","+","2016-06-11 11:19:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.1752","0.85","48.41","+","2016-06-11 11:19:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.4083","0.85","50.55","+","2016-06-11 11:19:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","1.1709","0.85","52.45","+","2016-06-11 11:19:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.251","0.85","56.71","+","2016-06-11 11:19:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.3336","0.85","53.64","+","2016-06-11 11:19:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.8269","0.84","50.96","-","2016-06-11 11:19:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","1.7255","0.82","55.59","-","2016-06-11 11:19:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.5576","0.83","57.20","-","2016-06-11 11:19:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.5693","0.84","56.26","-","2016-06-11 11:19:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.9478","0.83","45.54","-","2016-06-11 11:19:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9416","0.70","12.04","-","2016-06-11 11:19:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.7028","0.70","12.19","-","2016-06-11 11:19:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","5.9854","0.70","15.34","-","2016-06-11 11:19:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.2207","0.70","16.06","-","2016-06-11 11:19:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.4453","0.72","19.50","+","2016-06-11 11:19:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.2509","0.72","17.30","+","2016-06-11 11:19:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.5721","0.70","11.00","+","2016-06-11 11:19:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.7989","0.70","19.29","-","2016-06-11 11:29:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.7020","0.70","17.29","+","2016-06-11 11:29:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.2860","0.70","15.96","+","2016-06-11 11:29:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 11:29:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","4.9653","0.80","16.51","+","2016-06-11 11:29:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.7697","0.90","39.75","+","2016-06-11 11:29:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0","0.92","52.14","+","2016-06-11 11:29:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.94","53.76","+","2016-06-11 11:29:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.3019","0.94","55.83","+","2016-06-11 11:29:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.7418","0.94","58.86","+","2016-06-11 11:29:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","0","0.92","59.81","+","2016-06-11 11:29:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.419","0.76","48.78","-","2016-06-11 11:29:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","1.9292","0.75","54.71","-","2016-06-11 11:29:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.5832","0.76","57.09","-","2016-06-11 11:29:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.7308","0.76","55.57","-","2016-06-11 11:29:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.1667","0.76","44.69","-","2016-06-11 11:29:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","6.9416","0.70","12.04","-","2016-06-11 11:29:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.7784","0.70","12.08","-","2016-06-11 11:29:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.1171","0.70","15.10","-","2016-06-11 11:29:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.2310","0.70","16.04","-","2016-06-11 11:29:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.5893","0.70","19.22","+","2016-06-11 11:29:27"
