"TIME","ROAD","LI","CONTRI","LEN","FS","JF","CF","SP","DE","TT"
0.9166666666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,7.0911,0.98,24.95,+,0.016638476953907817
67.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.3336,0.85,53.64,+,0.007739187173750932
77.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.92,59.81,+,0.0069408125731483025
87.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.0055,0.8,54.95,+,0.007554686078252957
97.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.4949,0.9,52.99,+,0.007834119645216079
106.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.8461,0.8,51.57,+,0.008049835175489626
117.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.2247,0.74,50.05,+,0.008294305694305695
127.91666666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5794,0.98,52.65,+,0.007884710351377017
137.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.9902,0.87,42.95,+,0.009665424912689173
147.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,6.5851,0.87,27.89,+,0.014884546432413052
157.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.7433,0.77,38.59,+,0.01075745011661052
167.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.9215,0.73,43.22,+,0.009605043961129107
177.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.4408,0.89,53.2,+,0.007803195488721804
187.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,6.9885,0.98,25.54,+,0.016254111198120594
196.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,6.0280,0.97,31.12,+,0.0133396529562982
207.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.2804,0.9,41.28,+,0.010056443798449612
217.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.0919,0.9,46.56,+,0.008916022336769759
226.93333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.4232,0.82,45.23,+,0.009178200309529073
236.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.5916,0.75,44.55,+,0.009318294051627386
247.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.9609,0.87,43.07,+,0.00963849547248665
256.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.9687,0.79,43.03,+,0.009647455263769462
265.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.8597,0.85,43.47,+,0.00954980446284794
276.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.7967,0.86,43.73,+,0.009493025383032243
287.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.5969,0.83,48.55,+,0.008550566426364573
297.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5534,0.9,52.75,+,0.007869763033175355
307.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5042,0.97,52.95,+,0.00784003777148253
316.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.4072,0.89,45.29,+,0.009166041068668581
