"IN","TIME","ROAD","LI","CONTRI","LEN","FS","JF","CF","SP","DE","TT"
0,0.9166666666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.9143249748178652,1.5881895272250488,24.95,+,3.9043504037644903
1,67.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.16315161449910656,0.205318764292822,53.64,+,-0.21601412955437474
2,77.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,0.949941482794791,59.81,+,-0.5856609744026711
3,87.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.33852635509049134,-0.32655460606572606,54.95,+,-0.3014379992145592
4,97.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.07693416354698712,0.7371921346513712,52.99,+,-0.17206046604321695
5,106.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.11078789953041125,-0.32655460606572606,51.57,+,-0.0721843363539636
6,117.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.31315570443104607,-0.9648026504959851,50.05,+,0.04100533159210395
7,127.91666666666669,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.03176755098992517,1.5881895272250488,52.65,+,-0.1486370068087642
8,137.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2568439230049264,0.4180681124362417,42.95,+,0.6758325074613637
9,147.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.6438598156004294,0.4180681124362417,27.89,+,3.0922818799608884
10,157.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.6593880166939596,-0.6456786282808555,38.59,+,1.1814393627140873
11,167.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2201226652218473,-1.071177324567695,43.22,+,0.6478761719062645
12,177.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.10585148590600538,0.6308174605796614,53.2,+,-0.1863783274444627
13,187.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.8594836203994682,1.5881895272250488,25.54,+,3.726389345400117
14,196.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.3460808823987818,1.481814853153339,31.12,+,2.3769973523199517
15,207.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.41196050246125,0.7371921346513712,41.28,+,0.856873960043075
16,217.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7766880879752368,0.7371921346513712,46.56,+,0.3288596735301474
17,226.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9537732801664158,-0.11380525792230754,45.23,+,0.4502478794500886
18,236.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.0437857956055785,-0.8584279764242753,44.55,+,0.5151111775942735
19,247.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2411826005443118,0.4180681124362417,43.07,+,0.6633641967249256
20,256.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2453518263188097,-0.4329292801374359,43.03,+,0.6675125734088672
21,265.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1870895687008245,0.205318764292822,43.47,+,0.6223003253860677
22,276.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.153415052829879,0.31169343836453184,43.73,+,0.5960116537632233
23,287.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.512102606132093,-0.0074305838505977,48.55,+,0.15965385947936153
24,297.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.04566497023825194,0.7371921346513712,52.75,+,-0.15555760399211335
25,307.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.07196316358508559,1.481814853153339,52.95,+,-0.169320377994128
26,316.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9452210221674455,0.6308174605796614,45.29,+,0.4446181599970413
27,326.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.7317698682056448,1.1626908309382094,57.91,+,-0.4802245560192605
28,336.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.45881134847600913,0.4180681124362417,48.95,+,0.1273032496284534
29,345.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.6019013151212811,-0.6456786282808555,47.88,+,0.21505208295342654
30,356.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.9410780145350441,1.481814853153339,35.53,+,1.6103984292562494
31,366.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.6079413473330538,0.205318764292822,47.83,+,0.219248512081567
32,376.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5224187673433509,-0.6456786282808555,48.48,+,0.16537010146854003
33,386.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4211279616680462,-1.071177324567695,49.24,+,0.10417772102387081
34,396.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1413087702642365,1.5881895272250488,51.34,+,-0.05548730543315294
35,406.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.10266223910309,1.5881895272250488,33.77,+,1.8923346090754938
36,416.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.0960698408196831,1.481814853153339,53.13,+,-0.18161828305239364
37,426.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.12333016319140104,1.2690655050099193,53.34,+,-0.19586093556409867
38,436.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.1343411953650753,0.09894409022111214,53.42,+,-0.2012572531761712
39,446.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.1562029048749431,-0.7520533023525654,53.58,+,-0.21200154512943425
40,456.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.22317777532937932,-1.1775519986394047,54.09,+,-0.24582476093100575
41,466.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.8564641119577319,0.949941482794791,36.45,+,1.473858555065326
42,476.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.512984050074087,0.09894409022111214,40.18,+,0.9843438101967686
43,486.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,1.481814853153339,63.1,+,-0.7532158800031308
44,496.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.4372514833661049,0.4180681124362417,55.7,+,-0.34853603361955293
45,506.91666666666674,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.014788803491969543,0.09894409022111214,52.3,+,-0.1242065048015776
46,515.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.4761108056489262,-0.7520533023525654,55.99,+,-0.3664090044419805
47,526.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,1.2690655050099193,63.11,+,-0.7536985350722201
48,536.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-0.2201799319940162,60.84,+,-0.6400659510302433
49,546.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-0.8584279764242753,59.97,+,-0.5942348374585263
50,556.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.44560880019009885,-0.4329292801374359,49.05,+,0.11929804010622364
51,566.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9648912155650772,0.4180681124362417,45.15,+,0.45777744738005727
52,576.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.049620389562775626,-0.6456786282808555,52.78,+,-0.15762866940535722
53,586.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.778772700862486,1.0563161568665007,46.55,+,0.32974648592425204
54,596.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.039785292863959786,0.4180681124362417,52.71,+,-0.1527925162159539
55,605.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.5005916441709787,-0.6456786282808555,56.17,+,-0.37740974759642265
56,616.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-0.0074305838505977,66.1,+,-0.8914626034988492
57,626.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-0.7520533023525654,62.19,+,-0.7086445198434531
58,636.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-1.1775519986394047,60.43,+,-0.618631791031931
59,646.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,1.375440179081629,87.51,+,-1.602875829750077
60,656.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8759823187132817,-0.11380525792230754,71.8,+,-1.1223038246673969
61,666.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.2703944144361945,1.5881895272250488,50.37,+,0.016608223137912655
62,676.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.20756990448125856,-0.0074305838505977,53.97,+,-0.23792386652279113
63,685.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.5759584177869046,-0.7520533023525654,56.74,+,-0.41178496958892513
64,696.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.7412842552294994,-1.1775519986394047,57.99,+,-0.4848033143776068
65,706.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8155285449830604,-1.2839266727111147,58.54,+,-0.5159435055060028
66,716.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8488823511790445,-1.3903013467828245,58.8,+,-0.5304615363569388
67,726.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8638488026772426,-1.3903013467828245,58.91,+,-0.5365652021745176
68,736.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.869568125214054,-1.3903013467828245,58.95,+,-0.5387790693968086
69,746.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.869568125214054,-1.3903013467828245,58.95,+,-0.5387790693968086
70,756.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
71,766.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
72,776.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
73,786.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
74,796.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.25975754354997527,1.0563161568665007,50.45,+,0.01055730501039784
75,806.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.3661608387496642,-0.32655460606572606,55.16,+,-0.3147545500590167
76,816.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8159027062705153,1.0563161568665007,58.55,+,-0.5165042755342721
77,826.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8490427060165252,-0.32655460606572606,58.8,+,-0.5304615363569388
78,836.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8639022542897362,-0.9648026504959851,58.91,+,-0.5365652021745176
79,846.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8696215768265475,-1.1775519986394047,58.95,+,-0.5387790693968086
80,855.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8735769961510713,-1.3903013467828245,58.98,+,-0.5404374991789186
81,866.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
82,876.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
83,886.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
84,896.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
85,906.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
86,916.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
87,926.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
88,936.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
89,946.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
90,956.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,-0.8742184155009941,-1.3903013467828245,58.99,+,-0.5409899342563638
